dialogue_id,clip_id,role,text,label_2,label_1,mode,id
0,1,咨询人,我交了社保费一个月了，但是还没显示缴纳成功，你们这是怎么搞的？我非常生气！,negative,3,train,0_1
0,3,咨询人,你们总是出现问题，这个问题到底是什么原因啊？,negative,1,train,0_3
0,5,咨询人,我还需要等多久才能解决这个问题啊？真是让人失落！,negative,2,train,0_5
0,7,咨询人,我现在很着急啊，这个问题能不能快点解决？,negative,1,train,0_7
0,9,咨询人,我现在认为你们的服务质量很差，我很生气！,negative,3,valid,0_9
0,11,咨询人,好吧，我能感觉到你们在努力解决问题，这次你们能不能解决我的问题呢？,positive,6,train,0_11
0,13,咨询人,我现在还有点担心这个问题能不能解决啊。,negative,4,valid,0_13
1,1,咨询人,我已经等了两个星期了，我的货物到底在哪里？你们怎么这么没效率！,negative,3,train,1_1
1,3,咨询人,订单号码是ABC56789，可是每次我打电话问，对方都说还在审批中，这样下去怎么办啊？,negative,4,train,1_3
1,5,咨询人,可是我的货物已经耽误了很重要的行程，我是否可以向你的主管投诉呢？,negative,0,train,1_5
1,7,咨询人,我可能需要考虑取消订单了，这太让我失望了。,negative,2,train,1_7
1,9,咨询人,我真的需要这个货物尽快到货，否则我的客户就要取消合作了。,negative,1,train,1_9
1,11,咨询人,你们到底要我再等多久？我真的无法再忍受了！,negative,3,train,1_11
2,1,咨询人,这么慢的通关速度，你们是不是在故意拖延？我已经等得心烦意乱了！,negative,3,train,2_1
2,3,咨询人,我可不可以去找当地的海关咨询，看看有没有其他方式能加快通关？ ,negative,1,train,2_3
2,5,咨询人,我现在需要急用那些货物，你们到底什么时候能让我拿到？不能再拖延了！,negative,3,train,2_5
2,7,咨询人,这种滞留到底是怎么回事？我已经耽误了很多重要的计划，你们是否可以给我一个确切的通关时间？,negative,2,train,2_7
2,9,咨询人,我还需要向其他人交接这些货物，现在他们都等了我很久了。,negative,1,train,2_9
2,11,咨询人,通关时间已经超过标准了，你们到底能不能保证尽快让我收到货物呢？,negative,3,valid,2_11
3,1,咨询人,我在网上缴纳社保费用，但是系统出现了闪退，资金却被扣除，我真的气死了啊！,negative,3,train,3_1
3,3,咨询人,我很抗拒这种服务，你们一直都是这样做事情的吗？,negative,0,valid,3_3
3,5,咨询人,我现在非常着急，我需要知道你们处理此事的进展情况！,negative,1,train,3_5
3,7,咨询人,我现在对你们的服务感到非常失望，希望你们能够尽快解决问题！,negative,2,train,3_7
3,9,咨询人,我现在非常担心我的资金是否能够顺利退回，你们有保障措施吗？,negative,4,train,3_9
3,11,咨询人,听起来你们正在认真处理此事，我认可你们的态度！,positive,6,test,3_11
3,13,咨询人,我现在心情平和了，希望你们能够尽快解决这个问题。,positive,5,train,3_13
4,1,咨询人,我在网上缴纳社保费用，但是系统出现了闪退，资金却被扣除，我非常生气！,negative,3,train,4_1
4,3,咨询人,你们的服务一点都不可靠，我不接受这样的处理结果！,negative,0,train,4_3
4,5,咨询人,听起来你们还是很认真地对待这件事，我现在有些平静了。,positive,5,valid,4_5
4,7,咨询人,我希望你们能够尽快处理好这个问题，我现在比较着急。,negative,1,train,4_7
4,9,咨询人,听起来你们正在认真解决这个问题，我认可你们的态度！,positive,6,valid,4_9
5,1,咨询人,我现在非常生气，为什么我的社保缴费记录上显示了错误的信息！,negative,3,valid,5_1
5,3,咨询人,我不信任你们的服务，我还是不接受这个处理结果！,negative,0,train,5_3
5,5,咨询人,我现在感到非常失落，我不知道这个问题何时才能得到解决。,negative,2,test,5_5
5,7,咨询人,我现在非常担心我的社保记录被搞坏了，我很担心以后会有麻烦。,negative,4,train,5_7
5,9,咨询人,听起来你们正在认真解决这个问题，我现在比较平静了。,positive,5,train,5_9
5,11,咨询人,谢谢你们的服务，我现在已经认可你们的努力了。,positive,6,valid,5_11
6,1,咨询人,这是怎么回事？我缴费了这么多社保，但是我的养老金为什么这么少！,negative,3,train,6_1
6,3,咨询人,我现在非常着急！我需要尽快知道原因并且解决它！,negative,1,valid,6_3
6,5,咨询人,这个解释根本不能让我接受，你们的服务太差了！,negative,0,train,6_5
6,7,咨询人,我现在感到非常失落，我的养老金也许一辈子都拿不到了！,negative,2,valid,6_7
6,9,咨询人,我现在非常生气，我已经厌倦了不断的等待和被忽视！,negative,3,train,6_9
6,11,咨询人,我现在觉得很担心，这样的事情会不会再次发生？,negative,4,train,6_11
6,13,咨询人,听了你们的解释，我现在比较平和了，谢谢你们的服务。,positive,5,train,6_13
7,1,咨询人,我非常生气，我缴费了这么多社保，但是我的医疗报销却被拒绝了！,negative,3,train,7_1
7,3,咨询人,我现在非常着急，如果不能及时报销我将无法支付已经发生的医疗费用！,negative,1,train,7_3
7,5,咨询人,我看了一下相关规定，您们的拒绝理由完全不符合实际情况，我不能接受这样的服务质量！,negative,0,train,7_5
7,7,咨询人,看到您们的回复，我感到有些失落，我的权益能否得到保障？,negative,2,train,7_7
7,9,咨询人,我现在非常生气，这种服务质量简直不能容忍！,negative,3,train,7_9
7,11,咨询人,我现在非常担心，如果不能及时解决问题，我将面临严重的经济损失！,negative,4,train,7_11
7,13,咨询人,听到您的解释，我觉得有些认可了，但是我还是希望能够尽快解决问题。,positive,6,train,7_13
8,1,咨询人,我非常生气，社保缴费被扣除了两次，但是我的账户里只打入了一笔款项！,negative,3,train,8_1
8,3,咨询人,我现在非常担心，这种错误会不会再次发生？我已经受够了这样的服务质量！,negative,4,train,8_3
8,5,咨询人,听到您的回复，我觉得有些认可了，希望能够及时解决问题。,positive,6,test,8_5
8,7,咨询人,我还是觉得非常生气，这样的错误影响我生活质量。,negative,3,train,8_7
8,9,咨询人,看到您的解决方案，我觉得有些失落，这种问题对我造成了不可挽回的损失。,negative,2,train,8_9
8,11,咨询人,我现在非常不接受这种服务质量，我的权益受到了损害！,negative,0,train,8_11
8,13,咨询人,听到您的回复，我觉得有些平和了，但是我还是希望能够及时解决问题。,positive,5,valid,8_13
9,1,咨询人,我非常生气，已经缴纳了社保费用，但是依旧收到催缴通知，而且还被催缴罚款了！,negative,3,train,9_1
9,3,咨询人,我非常着急，缴费已经是第三次出现问题了，希望能够快速解决！,negative,1,train,9_3
9,5,咨询人,听到您的回复，我觉得有些认可，但是我非常不愿意支付误罚款！,positive,0,test,9_5
9,7,咨询人,我还是觉得非常担心，这种问题会不会再次发生？,negative,4,train,9_7
9,9,咨询人,看到您的回复，我觉得有些失落，我曾经信任和支持贵公司，但是现在我需要一个合理明晰的解决方案。,negative,2,train,9_9
9,11,咨询人,我现在非常生气，这种错误对我的生活造成了很大的影响！,negative,3,train,9_11
9,13,咨询人,我听到您的回复，觉得有些平静，但是我还需要一个更好的解决方案。,positive,5,valid,9_13
10,1,咨询人,这个社保缴费系统太烦人了，我已经多次缴纳费用，但是每次都会出现问题！,negative,3,valid,10_1
10,3,咨询人,我现在非常失落，这种错误对我的生活造成了很大的困扰。,negative,2,train,10_3
10,5,咨询人,我觉得您的回答很平和，但是我需要的是一个能够解决问题的方案。,positive,5,train,10_5
10,7,咨询人,我现在非常担心，这种问题会不会再次发生？,negative,4,train,10_7
10,9,咨询人,您的回答让我觉得有些认可，但是我还是非常着急，需要一个快速有效的解决方案！,positive,6,train,10_9
10,11,咨询人,我现在非常生气，怎么会出现这种错误？,negative,3,train,10_11
10,13,咨询人,听到您的回复，我觉得没什么用，我不接受这样的借口，需要实实在在的解决方案！,negative,0,test,10_13
11,1,咨询人,这个社保缴费系统真的让人很生气，我一直在尝试缴费，可是系统却总是出错！,negative,3,valid,11_1
11,3,咨询人,我觉得您的回答有些平和，但是让我更着急了，我现在非常着急需要一个解决方案！,positive,1,train,11_3
11,5,咨询人,我现在非常担心，我已经不知道该怎么做了。,negative,4,train,11_5
11,7,咨询人,感觉您的回答很认可，并且我需要一个能够解决问题的具体方案。,positive,6,train,11_7
